cgpa,college_tier,python_skill,dsa_skill,ml_skill,web_dev_skill,coding_score,communication_score,aptitude_score,internships,projects,backlogs,resume_score,skill_score,branch_Civil,branch_ECE,branch_EEE,branch_IT,branch_Mechanical
7.13,1,1,1,0,0,28.7,6.2,50.3,1,5,0,70.2,2,False,False,False,False,False
9.43,1,0,1,0,0,53.3,8.6,53.3,0,6,3,67.7,1,False,False,False,True,False
5.86,2,1,0,0,0,1.1,6.2,62.1,1,4,0,58.7,1,False,False,False,False,True
8.44,2,0,0,0,0,15.7,8.8,74.7,2,3,0,66.0,0,False,False,False,False,True
7.48,3,0,0,1,1,83.3,8.2,79.7,0,6,1,73.8,2,False,False,True,False,False
6.09,2,1,1,0,1,67.7,4.7,60.4,1,1,0,54.1,3,False,False,True,False,False
7.04,2,0,1,0,0,36.5,7.1,45.0,1,2,0,48.7,1,False,False,False,True,False
8.97,3,1,0,0,1,73.8,6.5,84.1,1,4,0,68.5,2,True,False,False,False,False
6.0,2,1,1,0,0,46.2,5.1,75.1,1,2,2,54.6,2,False,True,False,False,False
6.33,1,1,1,0,1,16.9,5.3,74.6,1,5,0,77.9,3,False,False,False,True,False
9.92,3,1,0,0,0,3.9,8.2,71.0,2,6,0,85.3,1,False,True,False,False,False
5.81,1,1,0,1,0,17.9,8.8,43.3,0,5,0,73.3,2,False,True,False,False,False
9.9,2,1,1,0,0,68.8,4.7,93.7,1,2,1,58.6,2,False,False,False,False,True
5.36,1,1,1,0,1,66.9,7.0,98.3,2,1,0,76.2,3,False,True,False,False,False
5.09,2,0,0,0,1,74.9,4.5,81.8,1,5,0,56.1,1,False,False,True,False,False
7.38,1,1,1,0,0,4.3,10.0,92.0,0,5,0,79.3,2,False,False,False,False,False
6.32,1,1,0,0,0,26.2,4.4,59.6,0,2,0,29.5,1,False,False,False,False,False
6.07,2,1,1,0,0,46.5,5.4,97.3,1,2,0,60.1,2,False,False,True,False,False
8.18,1,0,0,0,0,67.5,5.3,50.8,1,4,0,50.0,0,False,False,False,True,False
7.85,2,1,0,0,0,3.5,5.8,59.6,2,4,0,68.6,1,False,False,False,True,False
8.85,3,1,1,0,0,22.4,8.3,93.8,0,4,1,69.8,2,False,False,False,True,False
8.05,3,1,0,1,0,42.5,4.4,79.9,1,2,1,49.7,2,False,False,False,False,False
8.8,2,1,0,1,0,99.7,9.7,96.4,2,2,0,76.3,2,False,False,False,True,False
9.46,1,1,0,1,0,77.1,7.9,44.2,0,2,0,56.1,2,False,True,False,False,False
9.46,1,1,0,1,1,7.4,6.3,91.8,1,5,0,84.0,3,False,False,False,False,False
6.64,1,0,1,0,1,64.0,8.3,45.5,0,4,0,66.4,2,False,False,True,False,False
9.22,1,1,1,0,1,96.0,5.8,52.0,3,2,1,91.5,3,False,True,False,False,False
6.05,1,1,1,1,0,23.6,9.2,74.6,1,1,3,69.5,3,False,False,False,False,False
5.0,2,0,0,1,0,45.7,4.9,64.3,0,2,0,38.6,1,False,False,True,False,False
9.28,2,1,1,0,1,23.1,9.2,97.4,0,1,0,63.9,3,False,False,False,False,True
8.5,1,0,0,0,0,82.9,7.5,46.5,1,1,0,37.8,0,False,False,False,True,False
7.38,3,1,0,1,0,18.3,4.1,92.2,0,1,2,35.6,2,True,False,False,False,False
9.97,1,1,0,0,0,15.5,9.4,67.5,1,2,1,55.8,1,False,False,False,False,False
6.3,1,1,1,0,0,59.1,4.4,85.5,0,1,0,38.0,2,False,True,False,False,False
9.13,3,0,1,1,0,35.8,9.3,44.1,2,3,0,82.8,2,False,True,False,False,False
7.36,1,0,0,0,0,71.2,4.3,45.8,0,1,2,20.7,0,False,False,True,False,False
5.13,3,1,1,1,0,78.1,5.6,49.2,2,5,1,88.5,3,False,False,False,False,True
8.5,2,0,0,0,0,74.3,6.2,53.2,3,1,0,58.5,0,False,False,False,False,False
5.62,3,0,1,1,0,12.6,6.2,75.4,2,2,0,71.4,2,False,False,True,False,False
6.33,2,1,1,1,0,78.3,7.5,53.7,1,3,3,78.0,3,False,False,False,True,False
9.35,1,1,1,0,1,93.4,8.7,44.1,1,1,0,68.2,3,False,False,False,False,False
9.81,3,0,1,0,0,11.5,8.8,80.0,0,1,0,42.3,1,False,False,False,True,False
9.92,2,1,1,0,0,34.6,7.7,66.9,0,6,0,70.1,2,False,False,False,False,False
7.88,2,0,1,0,0,93.3,6.6,98.8,1,5,0,68.8,1,False,False,True,False,False
8.6,1,1,1,0,0,22.2,8.9,76.5,1,1,1,63.9,2,False,False,False,True,False
7.49,3,1,0,0,1,56.0,9.4,88.9,3,6,1,103.7,2,False,False,False,False,False
8.2,3,0,0,1,0,88.4,4.6,71.8,3,2,0,68.5,1,False,False,False,False,True
7.99,2,0,1,0,0,45.9,9.7,41.2,2,5,0,86.4,1,False,False,True,False,False
9.54,3,0,0,0,0,96.2,4.5,48.7,3,3,0,56.5,0,False,False,True,False,False
5.75,3,1,0,1,0,31.6,5.1,95.9,1,4,3,65.3,2,False,False,False,True,False
8.9,3,0,0,0,0,68.3,6.3,63.8,0,1,1,21.3,0,True,False,False,False,False
9.58,1,1,1,0,1,47.5,7.8,57.6,3,6,0,108.5,3,True,False,False,False,False
5.9,1,0,1,0,0,27.0,4.6,64.9,1,6,0,66.0,1,False,True,False,False,False
6.89,1,1,1,0,1,7.7,7.8,96.5,1,4,0,82.9,3,False,False,False,True,False
5.03,3,1,0,0,1,71.2,8.3,55.6,0,3,0,63.4,2,False,False,False,False,False
6.84,3,0,0,1,0,89.2,7.8,87.7,1,4,0,67.0,1,False,True,False,False,False
5.54,3,1,0,0,0,57.3,6.1,70.5,3,1,1,59.5,1,False,False,False,False,True
8.36,3,1,1,0,0,33.5,6.9,45.4,0,1,1,49.4,2,False,False,False,True,False
7.74,3,1,0,0,0,71.2,7.6,90.7,0,2,1,41.8,1,False,False,False,False,True
6.34,2,1,1,0,0,90.9,4.9,73.1,1,1,0,51.2,2,False,True,False,False,False
7.31,1,1,1,0,0,9.9,5.1,45.3,0,5,3,63.2,2,False,False,False,False,False
8.81,1,1,0,0,1,12.6,6.9,50.0,2,4,0,81.6,2,False,False,True,False,False
8.11,1,1,1,0,0,66.1,4.2,73.6,0,3,0,44.4,2,False,False,False,False,True
5.07,2,0,1,1,1,26.1,7.1,98.5,1,5,0,91.0,3,True,False,False,False,False
6.68,3,0,0,1,0,64.7,4.4,65.6,1,1,0,34.2,1,False,False,False,False,False
9.31,3,1,0,0,1,41.3,5.9,58.2,1,2,0,53.3,2,False,False,False,False,True
8.59,2,1,0,0,0,63.9,6.2,48.7,2,4,0,68.2,1,False,False,True,False,False
5.02,1,0,1,0,1,90.5,4.1,79.6,0,6,0,65.5,2,False,True,False,False,False
5.98,3,0,1,0,1,30.2,5.3,84.4,2,6,0,87.6,2,False,False,False,True,False
9.68,3,0,1,0,0,24.4,7.7,84.9,1,5,1,71.2,1,False,False,False,False,True
8.07,3,1,1,1,0,3.6,9.0,96.7,1,4,1,85.8,3,False,False,False,False,True
7.0,3,0,0,0,1,91.2,7.0,98.0,3,6,0,91.5,1,False,False,False,True,False
8.07,2,1,0,0,0,93.4,7.2,68.0,2,3,0,68.7,1,False,False,True,False,False
8.72,1,1,0,0,1,49.3,4.7,80.1,2,6,0,85.6,2,True,False,False,False,False
5.1,1,0,0,0,0,23.0,4.0,99.3,0,2,0,20.1,0,False,True,False,False,False
7.01,3,1,0,0,0,64.0,8.5,47.8,1,6,0,77.6,1,False,False,False,True,False
8.37,2,1,1,0,1,83.6,8.5,66.3,1,4,2,80.8,3,True,False,False,False,False
7.35,3,0,1,0,0,98.4,8.1,75.7,0,3,0,54.0,1,False,False,True,False,False
6.59,1,1,1,0,0,37.1,5.0,84.3,1,5,0,65.2,2,True,False,False,False,False
6.23,2,1,0,1,1,96.5,6.6,77.4,2,3,0,82.4,3,False,False,False,True,False
9.14,1,1,0,1,1,49.4,5.1,92.8,1,5,2,81.6,3,False,False,False,True,False
5.69,1,1,1,0,0,91.2,7.0,50.5,1,5,0,78.0,2,False,False,False,True,False
9.39,2,0,0,0,0,11.5,6.8,76.8,3,4,0,71.6,0,False,False,False,False,True
9.16,2,0,1,0,0,34.0,7.7,93.5,1,3,0,61.8,1,False,False,False,False,False
6.51,3,0,1,0,0,80.3,7.1,47.2,1,2,0,53.5,1,False,False,False,False,False
8.96,2,1,1,1,0,48.8,7.5,43.8,2,3,0,89.1,3,True,False,False,False,False
7.4,1,1,0,0,1,75.3,4.1,88.7,3,1,0,67.7,2,False,True,False,False,False
9.28,3,1,1,1,1,13.4,4.9,54.2,1,6,0,92.3,4,False,True,False,False,False
7.41,1,0,1,0,1,35.7,8.1,80.3,2,1,0,73.1,2,False,False,False,True,False
9.97,2,0,1,1,0,14.2,4.7,58.2,0,4,0,55.4,2,False,True,False,False,False
8.22,2,0,0,0,0,62.8,4.6,86.4,1,2,2,35.3,0,False,True,False,False,False
7.94,3,0,0,0,0,66.7,7.5,59.0,0,3,1,36.8,0,False,True,False,False,False
8.79,3,1,0,0,0,42.6,6.6,54.2,2,4,1,72.3,1,False,False,False,False,False
6.0,1,1,1,0,1,80.3,7.9,84.1,1,2,0,72.3,3,False,False,False,False,True
6.54,1,1,1,1,0,27.0,8.2,95.7,2,3,0,90.6,3,False,False,False,True,False
5.73,2,0,1,0,0,5.3,7.1,62.1,1,2,1,55.4,1,True,False,False,False,False
6.48,1,1,1,1,0,40.8,4.8,50.3,2,6,0,96.4,3,False,True,False,False,False
9.51,1,0,0,0,0,49.5,5.5,83.4,0,4,0,39.0,0,False,True,False,False,False
7.81,1,1,0,1,0,53.4,9.1,83.7,2,4,0,87.7,2,False,False,False,False,True
8.2,2,1,1,1,0,18.8,8.8,50.8,1,2,0,76.7,3,False,False,False,False,True
7.04,1,1,0,0,0,50.1,5.6,64.5,0,1,0,32.6,1,False,False,False,False,False
7.9,3,1,1,1,0,69.8,9.2,90.4,2,2,1,90.7,3,False,False,False,True,False
9.48,2,0,1,0,1,87.8,5.0,43.5,1,2,1,56.5,2,False,False,False,True,False
5.69,2,0,1,1,0,32.3,7.4,61.4,3,6,1,105.5,2,False,False,True,False,False
7.23,3,1,0,0,1,81.9,5.8,75.8,1,6,0,78.0,2,False,False,False,False,True
9.23,1,1,1,1,0,79.1,5.9,87.2,1,4,0,73.7,3,False,False,False,False,True
